customer_id,customer_name,city,created_at
1,Customer_001,Pune,2026-02-25
2,Customer_002,Nashik,2026-01-26
3,Customer_003,Pune,2026-02-09
4,Customer_004,Nagpur,2026-01-08
5,Customer_005,Aurangabad,2026-02-26
6,Customer_006,Nashik,2026-02-26
7,Customer_007,Nashik,2026-01-11
8,Customer_008,Nagpur,2026-01-18
9,Customer_009,Pune,2026-01-18
10,Customer_010,Nashik,2026-01-17
11,Customer_011,Pune,2026-01-13
12,Customer_012,Nagpur,2026-02-03
13,Customer_013,Pune,2026-01-14
14,Customer_014,Nagpur,2026-01-23
15,Customer_015,Nagpur,2026-02-09
16,Customer_016,Nashik,2026-01-01
17,Customer_017,Pune,2026-01-23
18,Customer_018,Aurangabad,2026-02-15
19,Customer_019,Nagpur,2026-01-02
20,Customer_020,Mumbai,2026-02-14
21,Customer_021,Pune,2026-01-02
22,Customer_022,Nagpur,2026-02-18
23,Customer_023,Mumbai,2026-01-27
24,Customer_024,Dhule,2026-03-01
25,Customer_025,Aurangabad,2026-03-01
26,Customer_026,Nagpur,2026-02-11
27,Customer_027,Mumbai,2026-02-01
28,Customer_028,Nashik,2026-02-14
29,Customer_029,Pune,2026-02-18
30,Customer_030,Nashik,2026-01-04
31,Customer_031,Aurangabad,2026-02-22
32,Customer_032,Dhule,2026-01-13
33,Customer_033,Mumbai,2026-01-08
34,Customer_034,Dhule,2026-01-15
35,Customer_035,Nashik,2026-02-17
36,Customer_036,Nashik,2026-02-01
37,Customer_037,Nashik,2026-02-28
38,Customer_038,Nagpur,2026-02-09
39,Customer_039,Nashik,2026-01-08
40,Customer_040,Pune,2026-01-02
41,Customer_041,Aurangabad,2026-01-26
42,Customer_042,Mumbai,2026-01-14
43,Customer_043,Aurangabad,2026-01-01
44,Customer_044,Dhule,2026-01-29
45,Customer_045,Pune,2026-02-21
46,Customer_046,Mumbai,2026-01-06
47,Customer_047,Dhule,2026-02-09
48,Customer_048,Nagpur,2026-01-25
49,Customer_049,Pune,2026-01-09
50,Customer_050,Pune,2026-01-23
51,Customer_051,Nashik,2026-02-18
52,Customer_052,Nashik,2026-02-13
53,Customer_053,Aurangabad,2026-02-10
54,Customer_054,Dhule,2026-01-22
55,Customer_055,Dhule,2026-01-11
56,Customer_056,Dhule,2026-02-16
57,Customer_057,Dhule,2026-01-28
58,Customer_058,Mumbai,2026-01-13
59,Customer_059,Nagpur,2026-01-20
60,Customer_060,Nashik,2026-01-02
61,Customer_061,Dhule,2026-02-19
62,Customer_062,Pune,2026-02-25
63,Customer_063,Dhule,2026-01-05
64,Customer_064,Dhule,2026-02-06
65,Customer_065,Aurangabad,2026-02-01
66,Customer_066,Aurangabad,2026-01-26
67,Customer_067,Nagpur,2026-01-09
68,Customer_068,Nagpur,2026-01-04
69,Customer_069,Pune,2026-01-12
70,Customer_070,Aurangabad,2026-02-20
71,Customer_071,Aurangabad,2026-01-01
72,Customer_072,Pune,2026-02-11
73,Customer_073,Mumbai,2026-01-01
74,Customer_074,Nashik,2026-01-22
75,Customer_075,Aurangabad,2026-02-02
76,Customer_076,Mumbai,2026-01-11
77,Customer_077,Mumbai,2026-02-17
78,Customer_078,Nashik,2026-01-15
79,Customer_079,Mumbai,2026-01-29
80,Customer_080,Dhule,2026-02-20
81,Customer_081,Aurangabad,2026-02-14
82,Customer_082,Aurangabad,2026-02-14
83,Customer_083,Aurangabad,2026-01-08
84,Customer_084,Mumbai,2026-02-11
85,Customer_085,Dhule,2026-01-31
86,Customer_086,Mumbai,2026-01-30
87,Customer_087,Aurangabad,2026-01-15
88,Customer_088,Aurangabad,2026-02-22
89,Customer_089,Aurangabad,2026-03-01
90,Customer_090,Pune,2026-01-22
91,Customer_091,Pune,2026-01-08
92,Customer_092,Aurangabad,2026-02-10
93,Customer_093,Aurangabad,2026-01-14
94,Customer_094,Pune,2026-01-04
95,Customer_095,Nagpur,2026-02-04
96,Customer_096,Mumbai,2026-02-12
97,Customer_097,Aurangabad,2026-02-24
98,Customer_098,Nashik,2026-02-20
99,Customer_099,Mumbai,2026-02-02
100,Customer_100,Mumbai,2026-02-14
