customer_id,customer_name,city,zone,signup_date
1,Customer_001,Bengaluru,West,2024-05-06
2,Customer_002,Delhi,West,2023-03-19
3,Customer_003,Nashik,Central,2023-01-11
4,Customer_004,Hyderabad,North,2022-01-29
5,Customer_005,Chennai,Central,2024-05-26
6,Customer_006,Mumbai,South,2023-04-21
7,Customer_007,Hyderabad,North,2024-06-13
8,Customer_008,,Central,2024-06-23
9,Customer_009,Pune,East,2025-01-11
10,Customer_010,Nashik,North,2024-01-25
11,Customer_011,Pune,South,2022-07-01
12,Customer_012,Mumbai,North,2024-07-17
13,Customer_013,Bengaluru,Central,2023-12-04
14,Customer_014,Nagpur,West,2022-11-06
15,Customer_015,Bengaluru,North,2024-08-20
16,Customer_016,Hyderabad,North,2023-02-09
17,Customer_017,Hyderabad,Central,2022-05-26
18,Customer_018,Mumbai,Central,2024-09-02
19,Customer_019,Nagpur,South,2023-11-30
20,Customer_020,Bengaluru,Central,2024-04-18
21,Customer_021,Delhi,East,2024-07-13
22,Customer_022,Nagpur,East,2024-09-19
23,Customer_023,Nagpur,East,2022-02-24
24,Customer_024,Mumbai,South,2024-10-12
25,Customer_025,Pune,West,2022-05-24
26,Customer_026,Hyderabad,Central,2023-10-15
27,Customer_027,Mumbai,South,2022-12-15
28,Customer_028,Chennai,East,2023-12-11
29,Customer_029,Delhi,South,2022-07-31
30,Customer_030,Bengaluru,North,2022-12-23
31,Customer_031,Nagpur,East,2022-11-24
32,Customer_032,Pune,Central,2023-05-10
33,Customer_033,Nagpur,South,2022-01-30
34,Customer_034,Chennai,West,2024-11-02
35,Customer_035,Nagpur,South,2023-05-19
36,Customer_036,Bengaluru,Central,2022-05-22
37,Customer_037,Nashik,West,2024-09-16
38,Customer_038,Pune,East,2022-04-17
39,Customer_039,Delhi,East,2022-03-13
40,Customer_040,Nagpur,South,2022-12-16
41,Customer_041,Nagpur,North,2023-11-24
42,Customer_042,Bengaluru,South,2024-09-07
43,Customer_043,Pune,East,2022-10-13
44,Customer_044,Nashik,North,2023-03-11
45,Customer_045,Chennai,South,2024-01-26
46,Customer_046,Nagpur,West,2025-04-05
47,Customer_047,Nashik,East,2022-10-12
48,Customer_048,Delhi,South,2022-01-21
49,Customer_049,Nagpur,South,2022-02-18
50,Customer_050,Delhi,Central,2023-10-30
51,Customer_051,Hyderabad,Central,2024-05-12
52,Customer_052,Delhi,West,2022-10-11
53,Customer_053,Bengaluru,South,2022-07-14
54,Customer_054,Nagpur,North,2023-01-18
55,Customer_055,Pune,West,2022-10-16
