product_id,product_name,category,price
1,Product_001,Sports,14652.64
2,Product_002,Grocery,576.1
3,Product_003,Fashion,7961.92
4,Product_004,Beauty,1917.23
5,Product_005,Books,731.53
6,Product_006,Grocery,195.26
7,Product_007,Home,511.31
8,Product_008,Books,421.39
9,Product_009,Grocery,25.61
10,Product_010,Beauty,3185.03
11,Product_011,Grocery,72.57
12,Product_012,Electronics,78069.01
13,Product_013,Electronics,48703.27
14,Product_014,Home,10100.87
15,Product_015,Grocery,440.6
16,Product_016,Beauty,4682.73
17,Product_017,Books,906.27
18,Product_018,Grocery,632.0
19,Product_019,Sports,8259.79
20,Product_020,Electronics,13239.12
21,Product_021,Fashion,2931.24
22,Product_022,Fashion,3816.14
23,Product_023,Beauty,346.52
24,Product_024,Beauty,4922.09
25,Product_025,Electronics,10152.08
26,Product_026,Beauty,1749.37
27,Product_027,Sports,2363.53
28,Product_028,Grocery,168.36
29,Product_029,Fashion,1250.43
30,Product_030,Grocery,237.27
31,Product_031,Grocery,702.1
32,Product_032,Electronics,42666.11
33,Product_033,Sports,17148.14
34,Product_034,Electronics,9300.01
35,Product_035,Books,1270.27
36,Product_036,Electronics,83741.19
37,Product_037,Sports,4880.31
38,Product_038,Fashion,3962.28
39,Product_039,Grocery,694.43
40,Product_040,Electronics,18994.16
41,Product_041,Electronics,88751.25
42,Product_042,Home,13912.47
43,Product_043,Sports,9209.17
44,Product_044,Fashion,5618.24
45,Product_045,Beauty,4977.48
46,Product_046,Books,1026.28
47,Product_047,Fashion,1365.16
48,Product_048,Home,3421.97
49,Product_049,Electronics,54230.32
50,Product_050,Books,184.4
51,Product_051,Home,1046.05
52,Product_052,Books,766.98
53,Product_053,Sports,10716.3
54,Product_054,Electronics,86666.21
55,Product_055,Electronics,77364.12
56,Product_056,Electronics,55577.98
57,Product_057,Beauty,4320.15
58,Product_058,Fashion,1091.11
59,Product_059,Books,443.95
60,Product_060,Books,154.68
