customer_id,customer_name,city,signup_date
1,Customer_001,Delhi,2022-04-25
2,Customer_002,Pune,2024-01-30
3,Customer_003,Aurangabad,2022-09-08
4,Customer_004,Nagpur,2022-05-23
5,Customer_005,Chennai,2022-04-15
6,Customer_006,Delhi,2024-01-29
7,Customer_007,Bengaluru,2022-03-31
8,Customer_008,Hyderabad,2023-03-09
9,Customer_009,Pune,2022-01-31
10,Customer_010,Mumbai,2022-08-12
11,Customer_011,Nagpur,2023-06-02
12,Customer_012,Hyderabad,2022-01-28
13,Customer_013,Bengaluru,2022-07-23
14,Customer_014,Chennai,2023-10-28
15,Customer_015,Chennai,2023-07-13
16,Customer_016,Kolhapur,2022-08-14
17,Customer_017,Thane,2023-08-27
18,Customer_018,Aurangabad,2024-04-08
19,Customer_019,Pune,2024-02-17
20,Customer_020,Nashik,2023-12-16
21,Customer_021,Kolhapur,2022-12-15
22,Customer_022,Aurangabad,2022-06-09
23,Customer_023,Nagpur,2024-02-21
24,Customer_024,Dhule,2022-04-15
25,Customer_025,Mumbai,2023-01-25
26,Customer_026,Mumbai,2023-01-03
27,Customer_027,Dhule,2023-09-11
28,Customer_028,Aurangabad,2024-04-06
29,Customer_029,Pune,2024-01-18
30,Customer_030,Thane,2023-07-04
31,Customer_031,Mumbai,2023-01-23
32,Customer_032,Mumbai,2023-07-20
33,Customer_033,Aurangabad,2024-04-29
34,Customer_034,Delhi,2023-09-26
35,Customer_035,Dhule,2023-08-15
36,Customer_036,Nagpur,2023-12-23
37,Customer_037,Mumbai,2022-02-16
38,Customer_038,Delhi,2022-08-22
39,Customer_039,Aurangabad,2022-03-23
40,Customer_040,Nagpur,2024-06-06
41,Customer_041,Mumbai,2023-01-25
42,Customer_042,Aurangabad,2023-04-10
43,Customer_043,Delhi,2024-05-04
44,Customer_044,Dhule,2022-06-16
45,Customer_045,Dhule,2022-12-30
46,Customer_046,Nagpur,2023-11-18
47,Customer_047,Aurangabad,2023-12-20
48,Customer_048,Delhi,2023-10-26
49,Customer_049,Mumbai,2023-09-16
50,Customer_050,Delhi,2022-06-25
51,Customer_051,Bengaluru,2024-01-17
52,Customer_052,Nagpur,2022-06-17
53,Customer_053,Thane,2023-01-24
54,Customer_054,Aurangabad,2023-10-18
55,Customer_055,Chennai,2023-07-25
56,Customer_056,Nagpur,2023-12-03
57,Customer_057,Dhule,2024-05-13
58,Customer_058,Pune,2022-08-23
59,Customer_059,Pune,2024-04-04
60,Customer_060,Dhule,2023-02-15
61,Customer_061,Aurangabad,2022-03-09
62,Customer_062,Nagpur,2023-08-04
63,Customer_063,Chennai,2022-11-19
64,Customer_064,Nagpur,2023-11-03
65,Customer_065,Thane,2023-02-10
66,Customer_066,Delhi,2023-04-15
67,Customer_067,Nashik,2022-09-29
68,Customer_068,Nashik,2022-09-10
69,Customer_069,Chennai,2023-07-29
70,Customer_070,Bengaluru,2022-09-27
71,Customer_071,Chennai,2023-08-22
72,Customer_072,Kolhapur,2023-08-21
73,Customer_073,Kolhapur,2023-01-06
74,Customer_074,Nagpur,2022-05-22
75,Customer_075,Bengaluru,2023-05-21
76,Customer_076,Mumbai,2024-02-13
77,Customer_077,Pune,2024-05-31
78,Customer_078,Mumbai,2022-06-06
79,Customer_079,Delhi,2022-06-13
80,Customer_080,Delhi,2023-03-09
81,Customer_081,Hyderabad,2022-03-07
82,Customer_082,Kolhapur,2023-01-26
83,Customer_083,Hyderabad,2023-04-25
84,Customer_084,Bengaluru,2022-09-15
85,Customer_085,Bengaluru,2024-05-31
86,Customer_086,Pune,2023-11-28
87,Customer_087,Chennai,2022-04-28
88,Customer_088,Delhi,2023-07-04
89,Customer_089,Aurangabad,2024-02-27
90,Customer_090,Delhi,2022-12-15
91,Customer_091,Mumbai,2022-10-28
92,Customer_092,Kolhapur,2022-06-11
93,Customer_093,Thane,2022-01-04
94,Customer_094,Chennai,2024-06-15
95,Customer_095,Chennai,2022-09-27
96,Customer_096,Bengaluru,2024-02-20
97,Customer_097,Nashik,2023-06-04
98,Customer_098,Mumbai,2024-06-10
99,Customer_099,Delhi,2022-11-02
100,Customer_100,Delhi,2023-06-04
101,Customer_101,Hyderabad,2022-07-23
102,Customer_102,Nashik,2023-01-18
103,Customer_103,Nashik,2023-07-07
104,Customer_104,Bengaluru,2022-01-01
105,Customer_105,Hyderabad,2022-11-28
106,Customer_106,Thane,2022-01-20
107,Customer_107,Mumbai,2023-01-07
108,Customer_108,Aurangabad,2022-09-03
109,Customer_109,Pune,2022-09-04
110,Customer_110,Hyderabad,2022-03-22
111,Customer_111,Mumbai,2024-01-20
112,Customer_112,Thane,2024-04-15
113,Customer_113,Mumbai,2024-02-18
114,Customer_114,Bengaluru,2024-02-24
115,Customer_115,Nashik,2022-05-12
116,Customer_116,Delhi,2023-05-02
117,Customer_117,Bengaluru,2022-06-19
118,Customer_118,Aurangabad,2023-06-25
119,Customer_119,Hyderabad,2023-03-10
120,Customer_120,Nagpur,2023-07-07
