product_id,product_name,category,unit_price
1,Product_1,Grocery,3473.88
2,Product_2,Fashion,2187.31
3,Product_3,Home,940.59
4,Product_4,Home,3104.4
5,Product_5,Books,2143.68
6,Product_6,Electronics,3181.04
7,Product_7,Home,4525.41
8,Product_8,Home,3015.88
9,Product_9,Fashion,1147.1
10,Product_10,Home,1052.86
11,Product_11,Grocery,4645.84
12,Product_12,Grocery,4191.12
13,Product_13,Electronics,2097.56
14,Product_14,Books,4659.05
15,Product_15,Fashion,1508.13
16,Product_16,Fashion,3385.34
17,Product_17,Home,3600.45
18,Product_18,Home,3459.89
19,Product_19,Grocery,1360.89
20,Product_20,Fashion,4414.97
21,Product_21,Electronics,1397.68
22,Product_22,Electronics,1417.07
23,Product_23,Electronics,4221.22
24,Product_24,Books,4953.79
25,Product_25,Grocery,3475.44
26,Product_26,Fashion,1024.18
27,Product_27,Home,386.17
28,Product_28,Books,3205.42
29,Product_29,Electronics,4815.52
30,Product_30,Fashion,4819.77
31,Product_31,Grocery,1986.61
32,Product_32,Home,4549.19
33,Product_33,Grocery,1218.75
34,Product_34,Electronics,3507.61
35,Product_35,Grocery,1220.62
36,Product_36,Home,110.83
37,Product_37,Home,376.54
38,Product_38,Home,4274.04
39,Product_39,Fashion,3161.89
40,Product_40,Books,4852.28
41,Product_41,Fashion,2605.98
42,Product_42,Electronics,2201.08
43,Product_43,Fashion,4358.36
44,Product_44,Books,3764.03
45,Product_45,Grocery,591.0
46,Product_46,Electronics,3495.34
47,Product_47,Fashion,4461.43
48,Product_48,Electronics,722.56
49,Product_49,Fashion,2385.1
50,Product_50,Fashion,1731.65
51,Product_51,Books,2349.34
52,Product_52,Home,887.72
53,Product_53,Grocery,2036.22
54,Product_54,Books,1334.88
55,Product_55,Books,322.88
56,Product_56,Grocery,2018.52
57,Product_57,Grocery,3427.8
58,Product_58,Grocery,2138.91
59,Product_59,Books,1887.85
60,Product_60,Electronics,2675.74
