customer_id,full_name,city,state,signup_date
1,Customer_1,Bangalore,KA,2025-04-11
2,Customer_2,Mumbai,MH,2025-09-12
3,Customer_3,Delhi,MH,2025-11-07
4,Customer_4,Delhi,KA,2025-10-26
5,Customer_5,Bangalore,KA,2025-12-15
6,Customer_6,Mumbai,KA,2025-01-08
7,Customer_7,Pune,MH,2025-08-30
8,Customer_8,Mumbai,KA,2025-05-24
9,Customer_9,Nagpur,MH,2025-05-09
10,Customer_10,Nagpur,KA,2025-07-30
11,Customer_11,Pune,TS,2025-08-20
12,Customer_12,Bangalore,KA,2025-06-26
13,Customer_13,Pune,KA,2025-02-14
14,Customer_14,Bangalore,MH,2025-01-10
15,Customer_15,Pune,DL,2025-10-30
16,Customer_16,Delhi,DL,2025-06-26
17,Customer_17,Nagpur,KA,2025-05-08
18,Customer_18,Delhi,KA,2025-01-06
19,Customer_19,Bangalore,DL,2025-05-25
20,Customer_20,Bangalore,DL,2025-01-12
21,Customer_21,Hyderabad,TS,2025-12-29
22,Customer_22,Pune,DL,2025-06-10
23,Customer_23,Pune,KA,2025-10-24
24,Customer_24,Hyderabad,MH,2025-02-06
25,Customer_25,Pune,DL,2025-03-11
26,Customer_26,Delhi,MH,2025-12-30
27,Customer_27,Hyderabad,MH,2025-04-04
28,Customer_28,Pune,KA,2025-02-19
29,Customer_29,Nagpur,TS,2025-11-14
30,Customer_30,Pune,DL,2026-01-02
31,Customer_31,Mumbai,DL,2025-08-12
32,Customer_32,Bangalore,TS,2025-05-16
33,Customer_33,Mumbai,DL,2025-04-03
34,Customer_34,Delhi,MH,2025-11-11
35,Customer_35,Delhi,TS,2025-06-28
36,Customer_36,Pune,MH,2025-06-26
37,Customer_37,Delhi,DL,2025-12-01
38,Customer_38,Pune,TS,2025-02-17
39,Customer_39,Mumbai,KA,2025-05-07
40,Customer_40,Pune,MH,2025-07-31
41,Customer_41,Pune,DL,2025-04-16
42,Customer_42,Hyderabad,DL,2025-03-19
43,Customer_43,Bangalore,DL,2025-01-25
44,Customer_44,Bangalore,KA,2025-03-09
45,Customer_45,Bangalore,TS,2026-01-27
46,Customer_46,Nagpur,MH,2025-02-19
47,Customer_47,Mumbai,MH,2025-02-03
48,Customer_48,Delhi,TS,2025-11-28
49,Customer_49,Pune,TS,2025-12-14
50,Customer_50,Hyderabad,TS,2025-03-10
51,Customer_51,Bangalore,DL,2025-08-19
52,Customer_52,Pune,MH,2025-04-06
53,Customer_53,Hyderabad,MH,2025-05-06
54,Customer_54,Bangalore,DL,2025-09-09
55,Customer_55,Delhi,MH,2025-03-03
56,Customer_56,Mumbai,TS,2025-12-17
57,Customer_57,Delhi,DL,2025-03-20
58,Customer_58,Delhi,KA,2025-12-31
59,Customer_59,Delhi,DL,2025-03-18
60,Customer_60,Mumbai,KA,2026-01-05
61,Customer_61,Delhi,TS,2025-05-03
62,Customer_62,Delhi,TS,2026-01-16
63,Customer_63,Bangalore,TS,2025-12-20
64,Customer_64,Delhi,KA,2025-01-09
65,Customer_65,Mumbai,TS,2025-06-30
66,Customer_66,Delhi,MH,2025-04-05
67,Customer_67,Mumbai,MH,2025-12-20
68,Customer_68,Hyderabad,DL,2025-07-27
69,Customer_69,Mumbai,TS,2025-07-04
70,Customer_70,Hyderabad,DL,2025-07-01
71,Customer_71,Mumbai,MH,2025-02-04
72,Customer_72,Nagpur,DL,2025-09-26
73,Customer_73,Delhi,TS,2025-09-18
74,Customer_74,Nagpur,TS,2025-02-14
75,Customer_75,Nagpur,DL,2025-11-08
76,Customer_76,Hyderabad,DL,2025-10-04
