product_id,product_name,category,price
1,Product_001,Sports,19701.54
2,Product_002,Sports,4063.89
3,Product_003,Grocery,-199.99
4,Product_004,Beauty,4032.36
5,Product_005,Grocery,423.76
6,Product_006,Home,11018.86
7,Product_007,Electronics,72159.7
8,Product_008,Fashion,2184.52
9,Product_009,Beauty,3057.28
10,Product_010,Home,6818.97
11,Product_011,Beauty,4941.15
12,Product_012,Home,1391.96
13,Product_013,Electronics,24281.9
14,Product_014,Grocery,283.44
15,Product_015,Fashion,5048.92
16,Product_016,,1276.45
17,Product_017,Fashion,7287.21
18,Product_018,Home,12034.73
19,Product_019,Electronics,75945.15
20,Product_020,Electronics,82331.06
21,Product_021,Sports,14287.56
22,Product_022,Grocery,392.87
23,Product_023,Grocery,358.46
24,Product_024,Beauty,1715.98
25,Product_025,Sports,18934.07
26,Product_026,Beauty,2027.53
27,Product_027,Fashion,5985.32
28,Product_028,Electronics,66607.89
29,Product_029,Grocery,794.63
30,Product_030,Electronics,17847.81
31,Product_031,Fashion,6481.04
32,Product_032,Grocery,497.03
33,Product_033,Books,1472.41
34,Product_034,Beauty,4692.34
35,Product_035,Grocery,447.95
36,Product_036,Grocery,36.69
37,Product_037,Sports,19423.63
38,Product_038,Beauty,585.64
39,Product_039,Beauty,4673.43
40,Product_040,Fashion,7894.41
41,Product_041,Grocery,664.4
42,Product_042,Grocery,41.84
43,Product_043,Grocery,248.51
44,Product_044,Grocery,615.67
45,Product_045,Home,4038.6
46,Product_046,Fashion,6698.43
47,Product_047,Electronics,82351.45
48,Product_048,Home,13486.02
49,Product_049,Beauty,2950.08
50,Product_050,Books,688.3
51,Product_051,Books,282.2
52,Product_052,Grocery,428.34
53,Product_053,Electronics,79188.48
54,Product_054,Sports,3825.54
55,Product_055,Electronics,70963.31
56,Product_056,Grocery,154.43
57,Product_057,Fashion,5009.94
58,Product_058,Electronics,52300.43
59,Product_059,Home,10298.5
60,Product_060,Books,877.17
61,Product_061,Sports,15574.5
62,Product_062,Books,178.61
63,Product_063,Grocery,236.0
64,Product_064,Sports,2135.36
65,Product_065,Fashion,4559.58
66,Product_066,Sports,17901.44
67,Product_067,Electronics,42676.11
68,Product_068,Books,1462.68
69,Product_069,Books,816.54
70,Product_070,Beauty,1443.75
71,Product_071,Books,846.13
72,Product_072,Fashion,4135.85
73,Product_073,Grocery,565.39
74,Product_074,Home,13857.21
75,Product_075,Grocery,675.2
76,Product_076,Grocery,344.98
77,Product_077,Fashion,3620.63
78,Product_078,Electronics,62048.21
79,Product_079,Fashion,724.0
80,Product_080,Beauty,1569.68
21,Product_021,Sports,14287.56
